sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGPLH297P_2,EGAN00003221135,SAMEA9241023,EGAR00002846372,EGAX00002471857,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH298P_2,EGAN00003221134,SAMEA9241022,EGAR00002846373,EGAX00002471858,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH327P_2,EGAN00003220644,SAMEA9240532,EGAR00002846374,EGAX00002471859,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH329P_2,EGAN00003220638,SAMEA9240526,EGAR00002846375,EGAX00002471860,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH332P_2,EGAN00003220412,SAMEA9240303,EGAR00002846376,EGAX00002471861,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH334P_2,EGAN00003220411,SAMEA9240302,EGAR00002846377,EGAX00002471862,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH351P_2,EGAN00003220376,SAMEA9240263,EGAR00002846378,EGAX00002471863,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH358P_2,EGAN00003220363,SAMEA9240250,EGAR00002846379,EGAX00002471864,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH361P_2,EGAN00003220642,SAMEA9240530,EGAR00002846380,EGAX00002471865,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH383P_2,EGAN00003220712,SAMEA9240600,EGAR00002846381,EGAX00002471866,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH385P_2,EGAN00003220625,SAMEA9240513,EGAR00002846382,EGAX00002471867,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH388P_2,EGAN00003220640,SAMEA9240528,EGAR00002846383,EGAX00002471868,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH403P_2,EGAN00003220636,SAMEA9240524,EGAR00002846384,EGAX00002471869,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH405P_2,EGAN00003220634,SAMEA9240522,EGAR00002846385,EGAX00002471870,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH408P_2,EGAN00003220364,SAMEA9240251,EGAR00002846386,EGAX00002471871,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH411P_2,EGAN00003220366,SAMEA9240253,EGAR00002846387,EGAX00002471872,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH417P_2,EGAN00003220365,SAMEA9240252,EGAR00002846388,EGAX00002471873,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH431P_2,EGAN00003220717,SAMEA9240605,EGAR00002846389,EGAX00002471874,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH432P_2,EGAN00003220715,SAMEA9240603,EGAR00002846390,EGAX00002471875,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH435P_2,EGAN00003220721,SAMEA9240609,EGAR00002846391,EGAX00002471876,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH437P_2,EGAN00003220719,SAMEA9240607,EGAR00002846392,EGAX00002471877,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH438P_2,EGAN00003220725,SAMEA9240613,EGAR00002846393,EGAX00002471878,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH439P_2,EGAN00003220723,SAMEA9240611,EGAR00002846394,EGAX00002471879,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH440P_2,EGAN00003220728,SAMEA9240616,EGAR00002846395,EGAX00002471880,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH446P_2,EGAN00003220727,SAMEA9240615,EGAR00002846396,EGAX00002471881,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH458P_2,EGAN00003220649,SAMEA9240537,EGAR00002846397,EGAX00002471882,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH463P_2,EGAN00003220651,SAMEA9240539,EGAR00002846398,EGAX00002471883,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH464P_2,EGAN00003220650,SAMEA9240538,EGAR00002846399,EGAX00002471884,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH467P_2,EGAN00003220653,SAMEA9240541,EGAR00002846400,EGAX00002471885,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH468P_2,EGAN00003220652,SAMEA9240540,EGAR00002846401,EGAX00002471886,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH471P_2,EGAN00003220654,SAMEA9240542,EGAR00002846402,EGAX00002471887,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH472P_2,EGAN00003220655,SAMEA9240543,EGAR00002846403,EGAX00002471888,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH473P_2,EGAN00003220657,SAMEA9240545,EGAR00002846404,EGAX00002471889,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH476P_2,EGAN00003220656,SAMEA9240544,EGAR00002846405,EGAX00002471890,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH481P_2,EGAN00003220659,SAMEA9240547,EGAR00002846406,EGAX00002471891,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH487P_2,EGAN00003220658,SAMEA9240546,EGAR00002846407,EGAX00002471892,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH488P_2,EGAN00003220662,SAMEA9240550,EGAR00002846408,EGAX00002471893,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH491P_2,EGAN00003220660,SAMEA9240548,EGAR00002846409,EGAX00002471894,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH496P_2,EGAN00003220502,SAMEA9240389,EGAR00002846410,EGAX00002471895,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH501P_2,EGAN00003220504,SAMEA9240391,EGAR00002846411,EGAX00002471896,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH505P_2,EGAN00003220503,SAMEA9240390,EGAR00002846412,EGAX00002471897,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH516P_2,EGAN00003220513,SAMEA9240400,EGAR00002846413,EGAX00002471898,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH520P_2,EGAN00003220512,SAMEA9240399,EGAR00002846414,EGAX00002471899,EGAS00001005340,ENA-CHECKLIST=ERC000026
