sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220538,CGPLLU299P,CGPLLU299P.bam,EGAF00005323206
EGAN00003220539,CGPLLU524P,CGPLLU524P.bam,EGAF00005323435
EGAN00003220540,CGPLLU498P,CGPLLU498P.bam,EGAF00005323408
EGAN00003220541,CGPLLU614P,CGPLLU614P.bam,EGAF00005323524
EGAN00003220542,CGPLLU563P,CGPLLU563P.bam,EGAF00005323474
EGAN00003220543,CGPLLU564P,CGPLLU564P.bam,EGAF00005323475
EGAN00003220544,CGPLLU515P,CGPLLU515P.bam,EGAF00005323426
EGAN00003220545,CGPLLU331P,CGPLLU331P.bam,EGAF00005323241
EGAN00003220546,CGPLLU623P,CGPLLU623P.bam,EGAF00005323533
EGAN00003220547,CGPLLU526P,CGPLLU526P.bam,EGAF00005323437
EGAN00003220548,CGPLLU518P,CGPLLU518P.bam,EGAF00005323429
EGAN00003220549,CGPLLU516P,CGPLLU516P.bam,EGAF00005323427
EGAN00003220550,CGPLLU531P,CGPLLU531P.bam,EGAF00005323442
EGAN00003220551,CGPLLU529P,CGPLLU529P.bam,EGAF00005323440
EGAN00003220552,CGPLLU610P,CGPLLU610P.bam,EGAF00005323520
EGAN00003220553,CGPLLU589P,CGPLLU589P.bam,EGAF00005323499
EGAN00003220554,CGPLLU283P,CGPLLU283P.bam,EGAF00005323189
EGAN00003220555,CGPLLU538P,CGPLLU538P.bam,EGAF00005323449
EGAN00003220556,CGPLLU284P,CGPLLU284P.bam,EGAF00005323190
EGAN00003220557,CGPLLU460P,CGPLLU460P.bam,EGAF00005323370
EGAN00003220558,CGPLLU309P,CGPLLU309P.bam,EGAF00005323218
EGAN00003220559,CGPLLU621P,CGPLLU621P.bam,EGAF00005323531
EGAN00003220560,CGPLH612P_1,CGPLH612P_1.bam,EGAF00005322825
EGAN00003220561,CGPLH611P_1,CGPLH611P_1.bam,EGAF00005322824
EGAN00003220562,CGPLH610P_1,CGPLH610P_1.bam,EGAF00005322823
EGAN00003220563,CGPLLU609P,CGPLLU609P.bam,EGAF00005323519
EGAN00003220564,CGPLH607P_1,CGPLH607P_1.bam,EGAF00005322821
EGAN00003220565,CGPLH989P,CGPLH989P.bam,EGAF00005323131
