feature,classifier,weighting_function,top_genes,fold,auc,source_dir
fslr_coverage,K-Nearest Neighbors,mean_diff,500,8,0.8154761904761905,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,9,0.7291666666666667,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,10,0.8720238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,1,0.7916666666666666,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,2,0.6071428571428572,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,3,0.7321428571428572,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,4,0.7559523809523809,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,5,0.7291666666666667,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,6,0.6845238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,7,0.7767857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,8,0.761904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,9,0.8511904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,50,10,0.7976190476190477,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,1,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,2,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,3,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,4,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,5,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,6,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,7,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,8,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,9,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10000,10,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,1,0.6428571428571429,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,2,0.6904761904761906,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,3,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,4,0.625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,5,0.6428571428571428,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,6,0.5297619047619048,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,7,0.49404761904761907,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,8,0.5863095238095238,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,9,0.5505952380952381,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1000,10,0.601190476190476,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,1,0.761904761904762,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,2,0.6428571428571429,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,3,0.75,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,4,0.8690476190476191,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,5,0.6785714285714286,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,6,0.5773809523809523,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,7,0.6845238095238095,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,8,0.5119047619047619,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,9,0.5952380952380952,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,100,10,0.6785714285714285,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,1,0.48214285714285715,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,2,0.5535714285714286,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,3,0.3869047619047619,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,4,0.43452380952380953,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,5,0.8095238095238095,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,6,0.37500000000000006,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,7,0.7023809523809523,brca_crc_dd
